course_code,course_name,credits,prerequisites,sequence,course_description,gen_ed,core_ed,elective_ed
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
ANT-2410,Introduction to Cultural Anthropology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
CLP-1006,Psychology of Personal Effectiveness,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
DEP-2000,Human Growth and Development,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ISS-1161,The Individual in Society,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
BSC-1005,General Education Biology,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-2010,Principles of Biology,3,Pre/Co-Req CHM 1045/BSC 2010L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
BSC-2085,Human Anatomy and Physiology 1,3,Co-Req BSC2085L,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
EVR-1001,Introduction to Environmental Science,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
AST-1002,Descriptive Astronomy,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
ESC-1000,General Education Earth Science,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PSC-1121,General Education Physical Science,3,Pre-Req MAT 1033,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
PSC-1515,Energy in the Natural Environment,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,0,0
,,,,,,,0,0
,,,,,,,0,0
,,,,,,,0,0
